symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,0.00022000,0.367,0.06010751,0.05996000,0.06018000,3.15150000,0.06018000,2.54170000,0.06019000,83.89900000,0.05996000,0.06043000,0.05967000,14960.42830000,899.23413260,1695560570092,1695646970092,423246278,423273288,27011
LTCBTC,0.00002800,1.151,0.00244558,0.00243300,0.00246000,1.58300000,0.00245900,65.23300000,0.00246000,40.84800000,0.00243200,0.00247200,0.00240700,28151.31500000,68.84623653,1695560569850,1695646969850,93604097,93612999,8903
BNBBTC,0.00004400,0.555,0.00795992,0.00792500,0.00796900,0.76000000,0.00796900,4.15000000,0.00797000,15.83800000,0.00792500,0.00801600,0.00789900,17695.45200000,140.85443108,1695560549795,1695646949795,227306649,227328340,21692
NEOBTC,0.00000010,0.036,0.00027813,0.00027740,0.00027770,39.48000000,0.00027750,46.81000000,0.00027770,43.86000000,0.00027760,0.00028280,0.00027480,10244.13000000,2.84919267,1695560555968,1695646955968,45530465,45532957,2493
QTUMETH,-0.00001200,-0.868,0.00138075,0.00137600,0.00137100,1.30000000,0.00136700,46.50000000,0.00137400,200.00000000,0.00138300,0.00139200,0.00136600,1925.70000000,2.65891780,1695560547879,1695646947879,5402378,5402429,52
EOSETH,-0.00000480,-1.315,0.00036380,0.00036450,0.00036020,5.40000000,0.00035950,694.60000000,0.00036030,174.90000000,0.00036500,0.00036760,0.00035960,12386.60000000,4.50623860,1695560561059,1695646961059,23498880,23499028,149
SNTETH,-0.00000014,-0.977,0.00001418,0.00001432,0.00001419,627.00000000,0.00001415,4499.00000000,0.00001423,1817.00000000,0.00001433,0.00001437,0.00001403,918647.00000000,13.02567884,1695560503307,1695646903307,3911192,3912129,938
BNTETH,0.00000430,1.727,0.00025001,0.00024960,0.00025330,5.00000000,0.00025310,251.50000000,0.00025390,5.00000000,0.00024900,0.00025500,0.00024660,7196.00000000,1.79905500,1695560550276,1695646950276,2235408,2235480,73
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043776,1689661443776,-1,-1,0
GASBTC,0.00000030,0.335,0.00008980,0.00008940,0.00008990,154.10000000,0.00008980,141.40000000,0.00009000,138.00000000,0.00008960,0.00009100,0.00008890,27718.10000000,2.48919738,1695560558839,1695646958839,20824958,20825771,814
